Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Manual Water Pump Control (rpm),Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity ()
0.37782829,32644.36426,276.165504,0.0006587,0.6547413,0,0,0,-999
0.37783982,32645.36045,277.161696,0.0006587,0.6547413,0,0,0,-999
0.37785132,32646.35405,278.155296,0.0006587,0.6547413,0,0,0,-999
0.37786283,32647.34851,279.14976,0.0006587,0.6547413,0,0,0,-999
0.37787433,32648.34211,280.14336,0.0006587,0.6547413,0,0,0,-999
0.37788583,32649.33571,281.13696,0.0006587,0.6547413,0,0,0,-999
0.37789733,32650.32931,282.13056,0.0006587,0.6547413,0,0,0,-999
0.37790886,32651.3255,283.126752,0.0006587,0.6547413,0,0,0,-999
0.37792037,32652.31997,284.121216,0.0006587,0.6547413,0,0,0,-999
0.37793187,32653.31357,285.114816,0.0006587,0.6547413,0,0,0,-999
0.37794337,32654.30717,286.108416,0.0006587,0.6547413,0,0,0,-999
0.3779549,32655.30336,287.104608,0.0006587,0.6547413,0,0,0,-999
0.3779664,32656.29696,288.098208,0.0006587,0.6547413,0,0,0,-999
0.37797791,32657.29142,289.092672,0.0006587,0.6547413,0,0,0,-999
0.37798941,32658.28502,290.086272,0.0006587,0.6547413,0,0,0,-999
0.37800091,32659.27862,291.079872,0.0006587,0.6547413,0,0,0,-999
0.37801241,32660.27222,292.073472,0.0006587,0.6547413,0,0,0,-999
0.37802392,32661.26669,293.067936,0.0006587,0.6547413,0,0,0,-999
0.37803544,32662.26202,294.063264,0.0006587,0.6547413,0,0,0,-999
0.37804694,32663.25562,295.056864,0.0006587,0.6547413,0,0,0,-999
0.37805844,32664.24922,296.050464,0.0006587,0.6547413,0,0,0,-999
0.37806997,32665.24541,297.046656,0.0006587,0.6547413,0,0,0,-999
0.37808148,32666.23987,298.04112,0.0006587,0.6547413,0,0,0,-999
0.37809298,32667.23347,299.03472,0.0006587,0.6547413,0,0,0,-999
0.37810448,32668.22707,300.02832,0.0006587,0.6547413,0,0,0,-999
0.37811598,32669.22067,301.02192,0.0006587,0.6547413,0,0,0,-999
0.37812751,32670.21686,302.018112,0.0006587,0.6547413,0,0,0,-999
0.37813901,32671.21046,303.011712,0.0006587,0.6547413,0,0,0,-999
0.37815051,32672.20406,304.005312,0.0006587,0.6547413,0,0,0,-999
0.37816204,32673.20026,305.001504,0.0006587,0.6547413,0,0,0,-999
0.37817354,32674.19386,305.995104,0.0006587,0.6547413,0,0,0,-999
0.37818504,32675.18746,306.988704,0.0006587,0.6547413,0,0,0,-999
0.37819654,32676.18106,307.982304,0.0006587,0.6547413,0,0,0,-999
0.37820806,32677.17638,308.977632,0.0006587,0.6547413,0,0,0,-999
0.37821956,32678.16998,309.971232,0.0006587,0.6547413,0,0,0,-999
