Day fraction since midnight on 10/5/2019	Turbidity ()
0.56918151	-999.00000000
0.56987594	-999.00000000
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Turbidity ()
0.57057037	0.00000000	0.00000000	-999.00000000
0.57126482	0.00000000	0.00000000	-999.00000000
Day fraction since midnight on 10/5/2019
0.57195926
0.57262638
0.57329341
0.57396045
0.57462746
0.57529449
0.57598886
0.57668331
0.57737775
0.57807219
0.57876663
0.57946109
0.58015552
0.58084997
0.58154442
0.58223887
0.58293331
0.58362775
0.58432221
0.58501665
0.58571109
0.58640552
0.58709998
0.58779442
0.58848888
0.58918331
0.58987775
0.59057220
0.59126663
0.59196108
0.59265474
0.59334800
0.59404126
0.59473451
0.59542776
0.59612183
0.59681626
0.59751069
0.59820514
0.59889957
0.59959400
0.60028847
0.60098289
0.60167732
0.60237176
0.60306620
0.60376065
0.60445505
0.60514944
0.60584386
0.60653822
0.60723261
0.60792705
0.60862146
0.60931591
0.61001034
0.61070483
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()
0.66755001	0.00000000	0.00000000	0.00000000	1.11001670
0.66756158	0.00000000	0.00000000	0.00000000	1.12012160
0.66757317	0.00000000	0.00000000	0.00000000	1.12557530
0.66758474	0.00000000	0.00000000	0.00000000	1.12141323
0.66759630	0.00000000	0.00000000	0.00000000	1.12003386
0.66760787	0.00000000	0.00000000	0.00000000	1.12311685
0.66761945	0.00000000	0.00000000	0.00000000	1.12507713
0.66763102	0.00000000	0.00000000	0.00000000	1.14062381
0.66764261	0.00000000	0.00000000	0.00000000	1.17005050
0.66765418	0.00000000	0.00000000	0.00000000	1.18938696
0.66766575	0.00000000	0.00000000	0.00000000	1.18460596
0.66767732	0.00000000	0.00000000	0.00000000	1.16576409
0.66768891	0.00000000	0.00000000	0.00000000	1.14502251
0.66770047	48.66000000	24.70125000	12.35250000	1.12634981
0.66771204	48.66000000	24.70125000	12.35250000	1.11007142
0.66772363	48.66000000	24.70125000	12.35250000	1.09440708
0.66773520	48.66000000	24.70125000	12.35250000	1.08144367
0.66774677	48.66000000	24.70125000	12.35250000	1.07430005
0.66775834	48.66000000	24.70125000	12.35250000	1.07565546
0.66776991	48.66000000	24.70125000	12.35250000	1.08506286
0.66778150	48.66000000	24.70125000	12.35250000	1.12858796
0.66779306	48.66000000	24.70125000	12.35250000	1.17819357
0.66780463	48.66000000	24.70125000	12.35250000	1.20338261
0.66781622	48.66000000	24.70125000	12.35250000	1.20304441
0.66782779	48.66000000	24.70125000	12.35250000	1.19289553
0.66783936	48.66000000	24.70125000	12.35250000	1.17850924
0.66785093	48.66000000	24.70125000	12.35250000	1.17426145
0.66786250	48.66000000	24.70125000	12.35250000	1.17535460
0.66787409	48.66000000	24.70125000	12.35250000	1.16454828
0.66788566	48.66000000	24.70125000	12.35250000	1.16119123
0.66789723	48.66000000	24.70125000	12.35250000	1.15251458
0.66790880	48.66000000	24.70125000	12.35250000	1.14053571
0.66792037	48.66000000	24.70125000	12.35250000	1.12979364
0.66793196	48.66000000	24.70125000	12.35250000	1.12114382
0.66794353	48.66000000	24.70125000	12.35250000	1.11109746
0.66795512	48.66000000	24.70125000	12.35250000	1.10559988
0.66796667	48.66000000	24.70125000	12.35250000	1.10114062
0.66797826	48.66000000	24.70125000	12.35250000	1.09092510
0.66798982	48.66000000	24.70125000	12.35250000	1.08269930
0.66800139	48.66000000	24.70125000	12.35250000	1.07755685
0.66801297	48.66000000	24.70125000	12.35250000	1.08653045
0.66802453	48.66000000	24.70125000	12.35250000	1.11374390
0.66803612	48.66000000	24.70125000	12.35250000	1.14141417
0.66804769	48.66000000	24.70125000	12.35250000	1.14556098
0.66805928	48.66000000	24.70125000	12.35250000	1.13596785
0.66807083	48.66000000	24.70125000	12.35250000	1.12983680
0.66808240	48.66000000	24.70125000	12.35250000	1.11808300
0.66809400	48.66000000	24.70125000	12.35250000	1.10491133
0.66810557	0.00000000	0.00000000	0.00000000	1.09398568
0.66811714	0.00000000	0.00000000	0.00000000	1.08762181
0.66812871	0.00000000	0.00000000	0.00000000	1.08892047
0.66814028	0.00000000	0.00000000	0.00000000	1.08227503
0.66815184	0.00000000	0.00000000	0.00000000	1.06628883
0.66816344	0.00000000	0.00000000	0.00000000	1.04755759
0.66817501	0.00000000	0.00000000	0.00000000	1.03813910
0.66818658	0.00000000	0.00000000	0.00000000	1.02798581
0.66819815	0.00000000	0.00000000	0.00000000	1.02028894
0.66820971	0.00000000	0.00000000	0.00000000	1.02122617
