Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.37669883	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37671042	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37672199	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37673356	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37674512	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37675670	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37676827	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37677986	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37679143	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37680299	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37681456	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37682615	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37683772	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37684928	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37686087	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37687244	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37688401	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37689560	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37690715	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37691874	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37693031	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37694188	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37695347	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37696506	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37697660	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37698819	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37699972	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37701124	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37702274	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37703424	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37704577	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37705729	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37706877	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37708029	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.37709179	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
