Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	3.00287867	0.1231282	1.472177086
0.0026336	3.00287867	0.12366351	1.432280485
0.0026336	3.56089258	0.12295391	1.48540524
0.0026336	3.56089258	0.12319578	1.467079694
0.0026336	3.56089258	0.12261143	1.51174583
0.0026336	3.56089258	0.12329815	1.459391774
0.0026336	3.56089258	0.12394131	1.41200409
0.0026336	4.1638093	0.12384616	1.418916483
0.0026336	4.1638093	0.12353551	1.441720838
0.0026336	4.1638093	0.12347113	1.446492533
0.0026336	4.1638093	0.12332065	1.457707447
0.0026336	4.1638093	0.12325968	1.462276109
0.0026336	3.69475317	0.12337804	1.453420087
0.0026336	3.69475317	0.12365619	1.432818685
0.0026336	3.69475317	0.12375901	1.425277385
0.0026336	3.69475317	0.12385805	1.41805086
0.0026336	3.69475317	0.12441745	1.37791639
0.0026336	4.05895948	0.12365662	1.432787064
0.0026336	4.05895948	0.1242568	1.389324615
0.0026336	4.05895948	0.12343977	1.448822579
0.0026336	4.05895948	0.12318595	1.467820048
0.0026336	4.05895948	0.12462451	1.363350525
0.0026336	4.1030407	0.1242666	1.388625991
0.0026336	4.1030407	0.12432385	1.384551759
0.0026336	4.1030407	0.12378927	1.423065544
0.0026336	4.1030407	0.12382259	1.420634004
0.0026336	4.1030407	0.12425343	1.389564937
0.0026336	4.71235561	0.1240973	1.400744614
0.0026336	4.71235561	0.12396554	1.410249231
0.0026336	4.71235561	0.12469956	1.358109154
0.0026336	4.71235561	0.12493983	1.341464223
0.0026336	4.71235561	0.12409154	1.401158774
0.0026336	5.21164656	0.12406719	1.402910961
0.0026336	5.21164656	0.12421069	1.392616431
0.0026336	5.21164656	0.12489605	1.344481851
0.0026336	5.21164656	0.12460133	1.364973464
0.0026336	5.21164656	0.12406733	1.402900881
0.0026336	6.13606405	0.12473117	1.355907598
0.0026336	6.13606405	0.12458158	1.366357777
0.0026336	6.13606405	0.12392625	1.413095911
0.0026336	6.13606405	0.12443935	1.37636848
0.0026336	6.13606405	0.12441394	1.378164641
0.0026336	6.14152908	0.12450173	1.371968933
0.0026336	6.14152908	0.12427358	1.388128614
0.0026336	6.14152908	0.124225	1.391593999
0.0026336	6.14152908	0.12432892	1.384191526
0.0026336	6.14152908	0.12381532	1.42116418
0.0026336	6.25991344	0.1238509	1.418571335
0.0026336	6.25991344	0.1239045	1.414674235
0.0026336	6.25991344	0.12453192	1.369844741
0.0026336	6.25991344	0.12427954	1.38770406
0.0026336	6.25991344	0.12370599	1.42916115
0.0026336	5.82811117	0.12460902	1.364434837
0.0026336	5.82811117	0.124175	1.395169713
0.0026336	5.82811117	0.12402294	1.406100732
0.0026336	5.82811117	0.12343315	1.449314924
0.0026336	5.82811117	0.12407041	1.402679129
0.0026336	6.18131876	0.12386503	1.417542943
0.0026336	6.18131876	0.12428059	1.387629278
0.0026336	6.18131876	0.12318456	1.467924767
0.0026336	6.18131876	0.12347162	1.446456155
0.0026336	6.18131876	0.12312962	1.472069797
0.0026336	6.59981298	0.12349805	1.444495367
0.0026336	6.59981298	0.12317608	1.468563791
0.0026336	6.59981298	0.12299094	1.482584852
0.0026336	6.59981298	0.12220567	1.543558553
0.0026336	6.59981298	0.12298393	1.483118357
0.0026336	6.96925163	0.12252089	1.518787109
0.0026336	6.96925163	0.12219326	1.544542011
0.0026336	6.96925163	0.1224072	1.527675224
0.0026336	6.96925163	0.12268337	1.506174351
0.0026336	6.96925163	0.1218114	1.575111591
0.0026336	8.15772247	0.12219856	1.544121924
0.0026336	8.15772247	0.12186807	1.570536961
0.0026336	8.15772247	0.12167466	1.586204732
0.0026336	8.15772247	0.12100966	1.641277406
0.0026336	8.15772247	0.12143301	1.606000157
0.0026336	8.7774601	0.12103724	1.638955783
0.0026336	8.7774601	0.1211787	1.627099512
0.0026336	8.7774601	0.12095012	1.64630057
0.0026336	8.7774601	0.12082114	1.65723491
0.0026336	8.7774601	0.12038514	1.694737532
0.0026336	9.54602718	0.12011664	1.718253638
0.0026336	9.54602718	0.12019081	1.711725159
0.0026336	9.54602718	0.12053368	1.681866473
0.0026336	9.54602718	0.11999033	1.729428863
0.0026336	9.54602718	0.11918816	1.802116866
0.0026336	8.73648739	0.12028903	1.703117945
