Day fraction since midnight on 10/27/2019,Time (seconds),Time (seconds since start),Coag Flow mL/s (),Water Flow mL/s (),Turbidity ()
start expt w/o fluoride probe,,,,,
0.40920157,35355.01565,312.999552,0.001317,0.654083,0.28609082
0.40921313,35356.01443,313.998336,0.001317,0.654083,0.28609082
0.40922471,35357.01494,314.998848,0.001317,0.654083,0.28609082
0.40923628,35358.01459,315.998496,0.001317,0.654083,0.28609082
0.40924787,35359.01597,316.999872,0.001317,0.654083,0.28307006
0.40925944,35360.01562,317.99952,0.001317,0.654083,0.28307006
0.40927101,35361.01526,318.999168,0.001317,0.654083,0.28307006
0.40928257,35362.01405,319.997952,0.001317,0.654083,0.28307006
0.40929417,35363.01629,321.000192,0.001317,0.654083,0.28307006
0.40930574,35364.01594,321.99984,0.001317,0.654083,0.31423536
0.40931731,35365.01558,322.999488,0.001317,0.654083,0.31423536
0.40932887,35366.01437,323.998272,0.001317,0.654083,0.31423536
0.40934044,35367.01402,324.99792,0.001317,0.654083,0.31423536
0.40935203,35368.01539,325.999296,0.001317,0.654083,0.31423536
0.4093636,35369.01504,326.998944,0.001317,0.654083,0.45187828
0.40937517,35370.01469,327.998592,0.001317,0.654083,0.45187828
0.40938674,35371.01434,328.99824,0.001317,0.654083,0.45187828
0.40939831,35372.01398,329.997888,0.001317,0.654083,0.45187828
0.40940988,35373.01363,330.997536,0.001317,0.654083,0.45187828
0.40942148,35374.01587,331.999776,0.001317,0.654083,0.87378168
0.40943305,35375.01552,332.999424,0.001317,0.654083,0.87378168
0.40944462,35376.01517,333.999072,0.001317,0.654083,0.87378168
0.40945619,35377.01482,334.99872,0.001317,0.654083,0.87378168
0.40946778,35378.01619,336.000096,0.001317,0.654083,0.87378168
0.40947935,35379.01584,336.999744,0.001317,0.654083,0.71681488
0.40949092,35380.01549,337.999392,0.001317,0.654083,0.71681488
0.40950249,35381.01514,338.99904,0.001317,0.654083,0.71681488
0.40951406,35382.01478,339.998688,0.001317,0.654083,0.71681488
0.40952563,35383.01443,340.998336,0.001317,0.654083,0.71681488
0.4095372,35384.01408,341.997984,0.001317,0.654083,0.71681488
0.40954879,35385.01546,342.99936,0.001317,0.654083,0.95645732
0.40956036,35386.0151,343.999008,0.001317,0.654083,0.95645732
0.40957193,35387.01475,344.998656,0.001317,0.654083,0.95645732
0.4095835,35388.0144,345.998304,0.001317,0.654083,0.95645732
0.40959507,35389.01405,346.997952,0.001317,0.654083,0.95645732
0.40960664,35390.0137,347.9976,0.001317,0.654083,0.89941818
0.40961821,35391.01334,348.997248,0.001317,0.654083,0.89941818
0.4096298,35392.01472,349.998624,0.001317,0.654083,0.89941818
0.40964137,35393.01437,350.998272,0.001317,0.654083,0.89941818
0.40965294,35394.01402,351.99792,0.001317,0.654083,0.89941818
0.40966451,35395.01366,352.997568,0.001317,0.654083,0.73986328
0.4096761,35396.01504,353.998944,0.001317,0.654083,0.73986328
0.40968767,35397.01469,354.998592,0.001317,0.654083,0.73986328
0.40969924,35398.01434,355.99824,0.001317,0.654083,0.73986328
0.40971081,35399.01398,356.997888,0.001317,0.654083,0.73986328
0.40972238,35400.01363,357.997536,0.001317,0.654083,0.65866327
0.40973397,35401.01501,358.998912,0.001317,0.654083,0.65866327
0.40974554,35402.01466,359.99856,0.001317,0.654083,0.65866327
0.4097571,35403.01344,360.997344,0.001317,0.654083,0.65866327
0.40976868,35404.01395,361.997856,0.001317,0.654083,0.65866327
0.40978024,35405.01274,362.99664,0.001317,0.654083,0.64980549
0.40979184,35406.01498,363.99888,0.001317,0.654083,0.64980549
0.40980341,35407.01462,364.998528,0.001317,0.654083,0.64980549
0.40981499,35408.01514,365.99904,0.001317,0.654083,0.64980549
0.40982656,35409.01478,366.998688,0.001317,0.654083,0.64980549
0.40983815,35410.01616,368.000064,0.001317,0.654083,0.77520895
0.40984969,35411.01322,368.99712,0.001317,0.654083,0.77520895
0.40986126,35412.01286,369.996768,0.001317,0.654083,0.77520895
0.40987285,35413.01424,370.998144,0.001317,0.654083,0.77520895
0.40988442,35414.01389,371.997792,0.001317,0.654083,0.77520895
0.40989599,35415.01354,372.99744,0.001317,0.654083,0.71880555
0.40990756,35416.01318,373.997088,0.001317,0.654083,0.71880555
0.40991915,35417.01456,374.998464,0.001317,0.654083,0.71880555
0.40993072,35418.01421,375.998112,0.001317,0.654083,0.71880555
0.40994229,35419.01386,376.99776,0.001317,0.654083,0.71880555
0.40995385,35420.01264,377.996544,0.001317,0.654083,0.68082309
0.40996545,35421.01488,378.998784,0.001317,0.654083,0.68082309
0.40997701,35422.01366,379.997568,0.001317,0.654083,0.68082309
0.40998858,35423.01331,380.997216,0.001317,0.654083,0.68082309
0.41000015,35424.01296,381.996864,0.001317,0.654083,0.68082309
0.41001174,35425.01434,382.99824,0.001317,0.654083,0.85076559
0.41002331,35426.01398,383.997888,0.001317,0.654083,0.85076559
0.41003487,35427.01277,384.996672,0.001317,0.654083,0.85076559
0.41004644,35428.01242,385.99632,0.001317,0.654083,0.85076559
0.41005803,35429.01379,386.997696,0.001317,0.654083,0.85076559
0.4100696,35430.01344,387.997344,0.001317,0.654083,0.99775237
0.41008117,35431.01309,388.996992,0.001317,0.654083,0.99775237
0.41009274,35432.01274,389.99664,0.001317,0.654083,0.99775237
0.41010431,35433.01238,390.996288,0.001317,0.654083,0.99775237
0.4101159,35434.01376,391.997664,0.001317,0.654083,0.99775237
0.41012747,35435.01341,392.997312,0.001317,0.654083,0.88164198
0.41013904,35436.01306,393.99696,0.001317,0.654083,0.88164198
0.41015061,35437.0127,394.996608,0.001317,0.654083,0.88164198
0.41016218,35438.01235,395.996256,0.001317,0.654083,0.88164198
0.41017377,35439.01373,396.997632,0.001317,0.654083,0.88164198
0.41018534,35440.01338,397.99728,0.001317,0.654083,1.03596318
0.4101969,35441.01216,398.996064,0.001317,0.654083,1.03596318
0.41020847,35442.01181,399.995712,0.001317,0.654083,1.03596318
0.41022006,35443.01318,400.997088,0.001317,0.654083,1.03596318
0.41023163,35444.01283,401.996736,0.001317,0.654083,1.03596318
0.4102432,35445.01248,402.996384,0.001317,0.654083,0.85073447
0.41025479,35446.01386,403.99776,0.001317,0.654083,0.85073447
0.41026636,35447.0135,404.997408,0.001317,0.654083,0.85073447
0.41027793,35448.01315,405.997056,0.001317,0.654083,0.85073447
0.4102895,35449.0128,406.996704,0.001317,0.654083,0.85073447
0.41030107,35450.01245,407.996352,0.001317,0.654083,0.88818097
0.41031264,35451.0121,408.996,0.001317,0.654083,0.88818097
0.41032423,35452.01347,409.997376,0.001317,0.654083,0.88818097
0.4103358,35453.01312,410.997024,0.001317,0.654083,0.88818097
