Day fraction since midnight on 10/20/2019,Time (seconds),Time since start (seconds),Water Pump Control (rpm),Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Just Water Pump Control (rpm)
start 1st expt 10,,,,,,,
0.459689,39717.1296,299.999808,37.4325,19.00125,9.5025,0.21280389,60
0.45970056,39718.12838,300.998592,37.4325,19.00125,9.5025,0.21280389,60
0.45971215,39719.12976,301.999968,37.4325,19.00125,9.5025,0.21280389,60
0.45972372,39720.12941,302.999616,37.4325,19.00125,9.5025,0.21280389,60
0.45973529,39721.12906,303.999264,37.4325,19.00125,9.5025,0.21280389,60
0.45974688,39722.13043,305.00064,37.4325,19.00125,9.5025,0.21280389,60
0.45975845,39723.13008,306.000288,37.4325,19.00125,9.5025,0.24704815,60
0.45977002,39724.12973,306.999936,37.4325,19.00125,9.5025,0.24704815,60
0.45978159,39725.12938,307.999584,37.4325,19.00125,9.5025,0.24704815,60
0.45979316,39726.12902,308.999232,37.4325,19.00125,9.5025,0.24704815,60
0.45980475,39727.1304,310.000608,37.4325,19.00125,9.5025,0.24704815,60
0.45981632,39728.13005,311.000256,37.4325,19.00125,9.5025,0.28925535,60
0.45982791,39729.13142,312.001632,37.4325,19.00125,9.5025,0.28925535,60
0.45983945,39730.12848,312.998688,37.4325,19.00125,9.5025,0.28925535,60
0.45985104,39731.12986,314.000064,37.4325,19.00125,9.5025,0.28925535,60
0.45986261,39732.1295,314.999712,37.4325,19.00125,9.5025,0.28925535,60
0.45987418,39733.12915,315.99936,37.4325,19.00125,9.5025,0.28925535,60
0.45988575,39734.1288,316.999008,37.4325,19.00125,9.5025,0.39420891,60
0.45989734,39735.13018,318.000384,37.4325,19.00125,9.5025,0.39420891,60
0.45990891,39736.12982,319.000032,37.4325,19.00125,9.5025,0.39420891,60
0.45992047,39737.12861,319.998816,37.4325,19.00125,9.5025,0.39420891,60
0.45993206,39738.12998,321.000192,37.4325,19.00125,9.5025,0.39420891,60
0.45994363,39739.12963,321.99984,37.4325,19.00125,9.5025,0.5329417,60
0.4599552,39740.12928,322.999488,37.4325,19.00125,9.5025,0.5329417,60
0.45996677,39741.12893,323.999136,37.4325,19.00125,9.5025,0.5329417,60
0.45997836,39742.1303,325.000512,37.4325,19.00125,9.5025,0.5329417,60
0.45998992,39743.12909,325.999296,37.4325,19.00125,9.5025,0.5329417,60
0.46000151,39744.13046,327.000672,37.4325,19.00125,9.5025,0.5329417,60
0.46001308,39745.13011,328.00032,37.4325,19.00125,9.5025,0.6541208,60
0.46002465,39746.12976,328.999968,37.4325,19.00125,9.5025,0.6541208,60
0.46003621,39747.12854,329.998752,37.4325,19.00125,9.5025,0.6541208,60
0.46004781,39748.13078,331.000992,37.4325,19.00125,9.5025,0.6541208,60
0.46005937,39749.12957,331.999776,37.4325,19.00125,9.5025,0.6541208,60
0.46007094,39750.12922,332.999424,37.4325,19.00125,9.5025,0.81553066,60
0.46008251,39751.12886,333.999072,37.4325,19.00125,9.5025,0.81553066,60
0.4600941,39752.13024,335.000448,37.4325,19.00125,9.5025,0.81553066,60
