Day fraction since midnight on 11/3/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.42130115	0.28373650	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42131271	0.28616947	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42132429	0.27668974	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42133588	0.24666741	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42134744	0.25193503	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42135901	0.26040345	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42137060	0.30104104	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42138217	0.29337731	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42139373	0.23813842	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42140532	0.42730865	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42141688	0.26009318	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42142847	0.26945159	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42144004	0.23590237	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42145161	0.35064456	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42146317	0.24923399	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42147476	0.29703781	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42148633	0.30363107	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42149790	0.30477649	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42150949	0.25892758	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42152106	0.34611604	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42153264	0.26944730	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42154420	0.23527826	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
