Day fraction since midnight on 11/11/2019	Time (seconds)	Time Elapsed (seconds)	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Effluent Fluoride Concentration (mg/L)	Flocculated Fluoride (mg/L)
Start expt!												
0.65800941	56852.01302	108	0.10468799	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01903548	0.50307692	0.429789573	4.570210427
0.65802101	56853.01526	109.00224	0.10581687	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01903548	0.50307692	0.453974009	4.546025991
0.65803258	56854.01491	110.001888	0.10514694	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01903548	0.50307692	0.439462405	4.560537595
0.65804415	56855.01456	111.001536	0.10585859	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01903548	0.50307692	0.45489341	4.54510659
0.65805571	56856.01334	112.00032	0.10463975	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01865815	0.50307692	0.428785314	4.571214686
0.65806728	56857.01299	112.999968	0.1056801	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.02137659	0.50307692	0.450972961	4.549027039
0.65807887	56858.01437	114.001344	0.10533103	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01865815	0.50307692	0.443403188	4.556596812
0.65809044	56859.01402	115.000992	0.10527921	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01865815	0.50307692	0.442290326	4.557709674
0.65810201	56860.01366	116.00064	0.10553405	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01865815	0.50307692	0.447790189	4.552209811
0.65811358	56861.01331	117.000288	0.10419548	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01846797	0.50307692	0.419646129	4.580353871
0.65812517	56862.01469	118.001664	0.10498422	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01846797	0.50307692	0.436008259	4.563991741
0.65813674	56863.01434	119.001312	0.10545488	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01846797	0.50307692	0.446074288	4.553925712
0.65814831	56864.01398	120.00096	0.10558412	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01846797	0.50307692	0.448878793	4.551121207
0.65815988	56865.01363	121.000608	0.10504808	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.01846797	0.50307692	0.437360601	4.562639399
0.65817146	56866.01414	122.00112	0.10556775	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.018767	0.50307692	0.448522592	4.551477408
0.65818302	56867.01293	122.999904	0.10601091	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.018767	0.50307692	0.458265989	4.541734011
0.65819461	56868.0143	124.00128	0.10584794	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.018767	0.50307692	0.454658535	4.545341465
0.65820621	56869.01654	125.00352	0.10546163	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.018767	0.50307692	0.446220328	4.553779672
0.65821775	56870.0136	126.000576	0.10486227	0.001317	0.654083	41.31050526	3.25185185	8.13333333	0.018767	0.50307692	0.433437369	4.566562631
