Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.08993918,1.38276923,0.08988
32.51851852,8.34074074,0.08993918,1.38276923,0.08988
32.51851852,8.34074074,0.08993918,1.38276923,0.08988
32.51851852,8.34074074,0.09239023,1.38276923,0.08988
32.51851852,8.34074074,0.09239023,1.38276923,0.08988
32.51851852,8.34074074,0.09239023,1.38276923,0.08988
32.51851852,8.34074074,0.09239023,1.38276923,0.08988
32.51851852,8.34074074,0.09239023,1.38276923,0.08988
32.51851852,8.34074074,0.08955901,1.38276923,0.08988
32.51851852,8.34074074,0.08955901,1.38276923,0.08988
32.51851852,8.34074074,0.08955901,1.38276923,0.08988
32.51851852,8.34074074,0.08955901,1.38276923,0.08988
32.51851852,8.34074074,0.08955901,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08709687,1.38276923,0.08988
32.51851852,8.34074074,0.08554201,1.38276923,0.08988
32.51851852,8.34074074,0.08554201,1.38276923,0.08988
32.51851852,8.34074074,0.08554201,1.38276923,0.08988
32.51851852,8.34074074,0.08554201,1.38276923,0.08988
32.51851852,8.34074074,0.08554201,1.38276923,0.08988
32.51851852,8.34074074,0.09568059,1.38276923,0.08988
32.51851852,8.34074074,0.09568059,1.38276923,0.08988
32.51851852,8.34074074,0.09568059,1.38276923,0.08988
32.51851852,8.34074074,0.09568059,1.38276923,0.08988
32.51851852,8.34074074,0.09568059,1.38276923,0.08988
32.51851852,8.34074074,0.09563273,1.38276923,0.08988
32.51851852,8.34074074,0.09563273,1.38276923,0.08988
32.51851852,8.34074074,0.09563273,1.38276923,0.08988
32.51851852,8.34074074,0.09563273,1.38276923,0.08988
32.51851852,8.34074074,0.09563273,1.38276923,0.08988
32.51851852,8.34074074,0.10645775,1.38276923,0.08988
32.51851852,8.34074074,0.10645775,1.38276923,0.08988
32.51851852,8.34074074,0.10645775,1.38276923,0.08988
32.51851852,8.34074074,0.10645775,1.38276923,0.08988
32.51851852,8.34074074,0.10645775,1.38276923,0.08988
32.51851852,8.34074074,0.09653249,1.38276923,0.08988
32.51851852,8.34074074,0.09653249,1.38276923,0.08988
32.51851852,8.34074074,0.09653249,1.38276923,0.08988
32.51851852,8.34074074,0.09653249,1.38276923,0.08988
32.51851852,8.34074074,0.09653249,1.38276923,0.08988
32.51851852,8.34074074,0.09073602,1.38276923,0.08988
32.51851852,8.34074074,0.09073602,1.38276923,0.08988
32.51851852,8.34074074,0.09073602,1.38276923,0.08988
32.51851852,8.34074074,0.09073602,1.38276923,0.08988
32.51851852,8.34074074,0.09073602,1.38276923,0.08988
32.51851852,8.34074074,0.08650664,1.38276923,0.08988
32.51851852,8.34074074,0.08650664,1.38276923,0.08988
32.51851852,8.34074074,0.08650664,1.38276923,0.08988
32.51851852,8.34074074,0.08650664,1.38276923,0.08988
32.51851852,8.34074074,0.08650664,1.38276923,0.08988
32.51851852,8.34074074,0.08596564,1.38276923,0.08988
32.51851852,8.34074074,0.08596564,1.38276923,0.08988
32.51851852,8.34074074,0.08596564,1.38276923,0.08988
32.51851852,8.34074074,0.08596564,1.38276923,0.08988
32.51851852,8.34074074,0.08596564,1.38276923,0.08988
32.51851852,8.34074074,0.08522797,1.38276923,0.08988
32.51851852,8.34074074,0.08522797,1.38276923,0.08988
32.51851852,8.34074074,0.08522797,1.38276923,0.08988
32.51851852,8.34074074,0.08522797,1.38276923,0.08988
32.51851852,8.34074074,0.08522797,1.38276923,0.08988
32.51851852,8.34074074,0.08459506,1.38276923,0.08988
32.51851852,8.34074074,0.08459506,1.38276923,0.08988
32.51851852,8.34074074,0.08459506,1.38276923,0.08988
32.51851852,8.34074074,0.08459506,1.38276923,0.08988
32.51851852,8.34074074,0.08459506,1.38276923,0.08988
32.51851852,8.34074074,0.08406362,1.38276923,0.08988
32.51851852,8.34074074,0.08406362,1.38276923,0.08988
32.51851852,8.34074074,0.08406362,1.38276923,0.08988
32.51851852,8.34074074,0.08406362,1.38276923,0.08988
32.51851852,8.34074074,0.08406362,1.38276923,0.08988
32.51851852,8.34074074,0.08212218,1.38276923,0.08988
32.51851852,8.34074074,0.08212218,1.38276923,0.08988
32.51851852,8.34074074,0.08212218,1.38276923,0.08988
32.51851852,8.34074074,0.08212218,1.38276923,0.08988
32.51851852,8.34074074,0.08212218,1.38276923,0.08988
32.51851852,8.34074074,0.08230567,1.38276923,0.08988
32.51851852,8.34074074,0.08230567,1.38276923,0.08988
32.51851852,8.34074074,0.08230567,1.38276923,0.08988
