Day fraction since midnight on 3/7/2020	Effluent Fluoride (volts)	Influent Fluoride (volts)	Turbidity ()	Water flow (mL/s)	Clay flow (mL/s)	Coag pump control ()	Fluoride pump control ()	water pump control (rpm)	Clay pump control ()
0.41487715	0.08355685	0.37211317	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41493502	0.08354964	0.37202421	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41499289	0.08355130	0.37193757	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41505075	0.08355357	0.37186295	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41510864	0.08354006	0.37177247	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41516649	0.08354652	0.37167901	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41522437	0.08355332	0.37157395	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41528225	0.08355983	0.37150845	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41534012	0.08355957	0.37142950	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41539798	0.08356141	0.37133473	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41545587	0.08354866	0.37125114	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41551375	0.08355429	0.37116879	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41557160	0.08362772	0.37106878	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41562947	0.08361315	0.37099114	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41568733	0.08353367	0.37090272	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41574520	0.08350752	0.37081113	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
0.41580308	0.08346689	0.37074918	-999.00000000	0.50518000	0.00152000	0.00000000	0.00000000	0.00000000	0.00000000
