Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,0.1663464119
0.19120095,0.02310603,0.10972187,1.947157299,,,
0.19120095,0.02310603,0.10867374,2.051602532,,,
0.19120095,0.02310603,0.11046784,1.876077012,,,
0.19120095,0.0190528,0.10840024,2.079766349,,,
0.19120095,0.0190528,0.11040842,1.881642505,,,
0.19120095,0.0190528,0.11013023,1.907919184,,,
0.19120095,0.0190528,0.10951831,1.967017143,,,
0.19120095,0.0190528,0.10928869,1.98966269,,,
0.19120095,0.01726792,0.10858867,2.060321554,,,
0.19120095,0.01726792,0.11015709,1.905366176,,,
0.19120095,0.01726792,0.10898244,2.020271884,,,
0.19120095,0.01726792,0.10932166,1.986395168,,,
0.19120095,0.01726792,0.11064724,1.859373435,,,
0.19120095,0.01642569,0.10867903,2.051061567,,,
0.19120095,0.01642569,0.10986198,1.933604428,,,
0.19120095,0.01642569,0.10989574,1.930352944,,,
0.19120095,0.01642569,0.11040843,1.881641567,,,
0.19120095,0.01642569,0.10947261,1.971503523,,,
0.19120095,0.01807793,0.10953946,1.964944299,,,
0.19120095,0.01807793,0.10868593,2.050356176,,,
0.19120095,0.01807793,0.11032469,1.889512996,,,
0.19120095,0.01807793,0.10931047,1.987503561,,,
0.19120095,0.01807793,0.10960185,1.958842373,,,
0.19120095,0.01626916,0.10981431,1.938204937,,,
0.19120095,0.01626916,0.10973049,1.946320749,,,
0.19120095,0.01626916,0.10963865,1.955252113,,,
0.19120095,0.01626916,0.11020777,1.900558408,,,
0.19120095,0.01626916,0.10924462,1.994038683,,,
0.19120095,0.01626916,0.10950477,1.968345303,,,
0.19120095,0.01583218,0.11061385,1.862471008,,,
0.19120095,0.01583218,0.10948128,1.970651601,,,
0.19120095,0.01583218,0.10903068,2.015419312,,,
0.19120095,0.01583218,0.10922298,1.996190979,,,
0.19120095,0.01583218,0.11001252,1.919147771,,,
0.19120095,0.01449603,0.11028004,1.893723477,,,
0.19120095,0.01449603,0.10981313,1.938318954,,,
0.19120095,0.01449603,0.10884423,2.03423953,,,
0.19120095,0.01449603,0.11040592,1.881877025,,,
0.19120095,0.01449603,0.10919107,1.99936896,,,
0.19120095,0.02502292,0.11000089,1.92026076,,,
0.19120095,0.02502292,0.10982012,1.937643644,,,
0.19120095,0.02502292,0.10951297,1.967540845,,,
0.19120095,0.02502292,0.10969902,1.949376576,,,
0.19120095,0.02502292,0.10932692,1.985874368,,,
0.19120095,0.01979815,0.11068251,1.856107051,,,
0.19120095,0.01979815,0.10919353,1.999123784,,,
0.19120095,0.01979815,0.10932838,1.985729835,,,
0.19120095,0.01979815,0.11009327,1.911437777,,,
0.19120095,0.01979815,0.10916327,2.002141742,,,
0.19120095,0.02207605,0.10995223,1.924924519,,,
0.19120095,0.02207605,0.10922794,1.995697457,,,
0.19120095,0.02207605,0.10864416,2.054630063,,,
0.19120095,0.02207605,0.10945839,1.97290159,,,
0.19120095,0.02207605,0.10994531,1.925588677,,,
0.19120095,0.02206345,0.1088049,2.038231881,,,
0.19120095,0.02206345,0.10902379,2.016111679,,,
0.19120095,0.02206345,0.10937033,1.981581489,,,
0.19120095,0.02206345,0.1088572,2.032924673,,,
0.19120095,0.02206345,0.11007555,1.913127022,,,
0.19120095,0.01874253,0.1088721,2.031415207,,,
0.19120095,0.01874253,0.10976519,1.942956832,,,
0.19120095,0.01874253,0.1087712,2.04165897,,,
0.19120095,0.01874253,0.1094056,1.97810042,,,
0.19120095,0.01874253,0.10957584,1.961383921,,,
0.19120095,0.01570437,0.10903917,2.014566491,,,
0.19120095,0.01570437,0.10995317,1.924834319,,,
0.19120095,0.01570437,0.10879416,2.03932345,,,
0.19120095,0.01570437,0.10887836,2.030781363,,,
0.19120095,0.01570437,0.10918885,1.999590243,,,
0.19120095,0.01683353,0.10912945,2.005520145,,,
0.19120095,0.01683353,0.10930472,1.988073352,,,
0.19120095,0.01683353,0.10958266,1.960717191,,,
0.19120095,0.01683353,0.1082489,2.095516492,,,
0.19120095,0.01683353,0.11000235,1.920121003,,,
0.19120095,0.016315,0.10893517,2.025038214,,,
0.19120095,0.016315,0.10922777,1.99571437,,,
0.19120095,0.016315,0.10934243,1.984339494,,,
0.19120095,0.016315,0.10966176,1.953000833,,,
0.19120095,0.016315,0.10947759,1.971014139,,,
0.19120095,0.01450598,0.10913917,2.004548595,,,
0.19120095,0.01450598,0.10983208,1.936488722,,,
0.19120095,0.01450598,0.10968254,1.950978745,,,
0.19120095,0.01450598,0.10911176,2.007289534,,,
0.19120095,0.01450598,0.1098175,1.937896737,,,
0.19120095,0.01674846,0.10916892,2.001577898,,,
0.19120095,0.01674846,0.10927068,1.991449857,,,
0.19120095,0.01674846,0.10999388,1.920931928,,,
0.19120095,0.01674846,0.10882115,2.03658141,,,
0.19120095,0.01674846,0.11012809,1.908122735,,,
0.19120095,0.01511946,0.10824307,2.096125608,,,
0.19120095,0.01511946,0.1096118,1.957870987,,,
0.19120095,0.01511946,0.10951366,1.967473168,,,
0.19120095,0.01511946,0.10928523,1.990005908,,,
0.19120095,0.01511946,0.10962545,1.956539166,,,
0.19120095,0.01372941,0.10972599,1.946757418,,,
0.19120095,0.01372941,0.10963368,1.955736608,,,
0.19120095,0.01372941,0.1101205,1.908844851,,,
0.19120095,0.01372941,0.10861728,2.057385121,,,
0.19120095,0.01372941,0.10955907,1.963024338,,,
0.19120095,0.01751586,0.10988864,1.931036303,,,
0.19120095,0.01751586,0.10876511,2.042278901,,,
0.19120095,0.01751586,0.11040956,1.881535573,,,
0.19120095,0.01751586,0.10925569,1.992938567,,,
0.19120095,0.01751586,0.10964752,1.954387727,,,
0.19120095,0.01575149,0.10914324,2.004141924,,,
0.19120095,0.01575149,0.10933575,1.985000403,,,
0.19120095,0.01575149,0.10898104,2.020412887,,,
0.19120095,0.01575149,0.10950519,1.968304091,,,
0.19120095,0.01575149,0.11090297,1.835819695,,,
0.19120095,0.02586588,0.1089083,2.027752582,,,
0.19120095,0.02586588,0.11035183,1.886958278,,,
0.19120095,0.02586588,0.11013094,1.907851655,,,
0.19120095,0.02586588,0.10952826,1.966041703,,,
0.19120095,0.02586588,0.10857504,2.061721965,,,
0.19120095,0.02186164,0.11007929,1.912770364,,,
0.19120095,0.02186164,0.10886261,2.032376475,,,
0.19120095,0.02186164,0.11064693,1.85940217,,,
0.19120095,0.02186164,0.10976694,1.942787336,,,
0.19120095,0.02186164,0.10967099,1.952102409,,,
0.19120095,0.0176239,0.10882609,2.036079932,,,
0.19120095,0.0176239,0.1097614,1.943323962,,,
0.19120095,0.0176239,0.10840004,2.079787085,,,
0.19120095,0.0176239,0.1102846,1.893293041,,,
0.19120095,0.0176239,0.10918017,2.000455672,,,
0.19120095,0.01733767,0.11026458,1.895183536,,,
0.19120095,0.01733767,0.10863865,2.055194508,,,
0.19120095,0.01733767,0.10998865,1.921432823,,,
0.19120095,0.01733767,0.10895345,2.023193673,,,
0.19120095,0.01733767,0.10999901,1.920440736,,,
0.19120095,0.01521327,0.1098596,1.933833857,,,
0.19120095,0.01521327,0.10942502,1.976186322,,,
0.19120095,0.01521327,0.10947753,1.971020034,,,
0.19120095,0.01521327,0.10920863,1.997619499,,,
0.19120095,0.01521327,0.10947586,1.971184132,,,
0.19120095,0.01404183,0.10927793,1.990730233,,,
0.19120095,0.01404183,0.10877799,2.040968004,,,
0.19120095,0.01404183,0.10980088,1.939503007,,,
0.19120095,0.01404183,0.10827866,2.092409939,,,
0.19120095,0.01404183,0.10985649,1.934133697,,,
0.19120095,0.012905,0.10964923,1.954221131,,,
0.19120095,0.012905,0.10897665,2.020855098,,,
0.19120095,0.012905,0.10970687,1.94861387,,,
0.19120095,0.012905,0.10902562,2.015927761,,,
0.19120095,0.012905,0.10965971,1.95320043,,,
0.19120095,0.01216366,0.10921726,1.996760274,,,
0.19120095,0.01216366,0.10904792,2.01368793,,,
0.19120095,0.01216366,0.10966095,1.953079696,,,
0.19120095,0.01216366,0.10990243,1.929709268,,,
0.19120095,0.01216366,0.10928927,1.989605162,,,
0.19120095,0.01148138,0.11000153,1.920199495,,,
0.19120095,0.01148138,0.10901313,2.017183356,,,
0.19120095,0.01148138,0.10931619,1.986936906,,,
0.19120095,0.01148138,0.1090599,2.012485676,,,
0.19120095,0.01148138,0.10933375,1.985198323,,,
0.19120095,0.01114939,0.10989605,1.930323113,,,
0.19120095,0.01114939,0.10945864,1.972877002,,,
0.19120095,0.01114939,0.10900459,2.018042316,,,
0.19120095,0.01114939,0.11034313,1.887776842,,,
0.19120095,0.01114939,0.10868178,2.050780404,,,
0.19120095,0.02298114,0.10962399,1.956681574,,,
0.19120095,0.02298114,0.10843543,2.076121078,,,
0.19120095,0.02298114,0.10932373,1.986190198,,,
0.19120095,0.02298114,0.10885766,2.032878055,,,
0.19120095,0.02298114,0.10895385,2.02315333,,,
0.19120095,0.01900066,0.10844164,2.075478458,,,
0.19120095,0.01900066,0.10889971,2.028621099,,,
0.19120095,0.01900066,0.10998421,1.92185816,,,
0.19120095,0.01900066,0.10913765,2.004700494,,,
0.19120095,0.01900066,0.10914195,2.004270811,,,
0.19120095,0.01728973,0.11047159,1.875726326,,,
0.19120095,0.01728973,0.10816666,2.104125274,,,
0.19120095,0.01728973,0.11014807,1.906223134,,,
0.19120095,0.01728973,0.10822461,2.098055468,,,
0.19120095,0.01728973,0.10960094,1.958931237,,,
0.19120095,0.01645281,0.10993879,1.926214655,,,
0.19120095,0.01645281,0.10977517,1.941990419,,,
0.19120095,0.01645281,0.10873638,2.045206008,,,
0.19120095,0.01645281,0.1094479,1.973933571,,,
0.19120095,0.01645281,0.10862101,2.057002595,,,
0.19120095,0.01494033,0.10988709,1.93118552,,,
0.19120095,0.01494033,0.10832276,2.087814944,,,
0.19120095,0.01494033,0.11015091,1.905953274,,,
0.19120095,0.01494033,0.10929163,1.989371101,,,
0.19120095,0.01494033,0.10838142,2.081718506,,,
0.19120095,0.01878999,0.10971031,1.948279733,,,
0.19120095,0.01878999,0.10926679,1.99183608,,,
0.19120095,0.01878999,0.10898815,2.019696893,,,
0.19120095,0.01878999,0.10902034,2.016458454,,,
0.19120095,0.01878999,0.10938551,1.980082507,,,
0.19120095,0.01813103,0.10830685,2.08947152,,,
0.19120095,0.01813103,0.10881433,2.037273937,,,
0.19120095,0.01813103,0.10892842,2.025719748,,,
0.19120095,0.01813103,0.10928055,1.990470239,,,
0.19120095,0.01813103,0.10888066,2.030548531,,,
0.19120095,0.01652793,0.10912109,2.006356135,,,
0.19120095,0.01652793,0.10917871,2.000601276,,,
0.19120095,0.01652793,0.10875663,2.043142435,,,
0.19120095,0.01652793,0.10948587,1.970200733,,,
0.19120095,0.01652793,0.10917334,2.001136913,,,
0.19120095,0.01481281,0.10978701,1.940844517,,,
0.19120095,0.01481281,0.1082308,2.09740815,,,
0.19120095,0.01481281,0.10863127,2.055950759,,,
0.19120095,0.01481281,0.10945825,1.97291536,,,
0.19120095,0.01481281,0.10954253,1.9646436,,,
