Day fraction since midnight on 11/13/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.55510158	0.17198937	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55511315	0.17334315	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55512475	0.16903888	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55513631	0.16232167	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55514788	0.15136580	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55515945	0.13722369	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55517104	0.12923743	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55518261	0.10322078	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55519418	0.10239366	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55520574	0.13122895	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55521733	0.15232846	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55522891	0.21419726	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55524050	0.16569811	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55525207	0.09765172	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55526361	0.13591430	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55527520	0.12015782	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55528678	0.11720740	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55529837	0.11559477	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55530992	0.11710715	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55532148	0.12252597	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55533307	0.12482160	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55534464	0.13545614	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55535621	0.14147459	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55536780	0.14002787	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55537937	0.13832353	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55539094	0.13960987	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55540251	0.23054452	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55541408	0.27783176	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55542567	0.44649285	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55543724	0.34838140	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55544880	0.25632802	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55546039	0.16931449	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55547196	0.26333240	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55548353	0.23977363	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55549510	0.36948788	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55550669	0.24788165	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55551826	0.22491513	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55552983	0.18132660	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55554140	0.30231100	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55555297	0.23230715	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55556456	0.42463765	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55557613	0.37029669	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55558769	0.34152594	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55559928	0.18306071	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55561085	0.19626495	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55562242	0.19140646	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55563399	0.28040209	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55564558	0.19604330	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55565715	0.16095537	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55566871	0.15936701	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55568028	0.12972923	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55569188	0.11280268	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55570344	0.12471399	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55571501	0.13459104	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55572660	0.12966214	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55573817	0.23951675	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55574973	0.20835909	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55576130	0.21376963	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55577289	0.15183485	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55578446	0.13940020	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55579603	0.14846188	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55580760	0.23108433	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55581919	0.23148182	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55583076	0.21247169	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55584233	0.09725330	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55585390	0.11561878	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55586549	0.14264822	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55587705	0.18369666	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55588865	0.12184044	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55590019	0.11528539	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55591178	0.12790841	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55592335	0.11741167	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55593492	0.13651809	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55594648	0.18975416	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55595808	0.20596601	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55596965	0.08565339	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55598122	0.25936237	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55599278	0.15783836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55600436	0.10253035	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55601595	0.12335318	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55602754	0.14505266	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
