Day fraction since midnight on 10/6/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.43903724	0.00000000	0.00000000	0.00000000	0.29505506
0.43904873	0.00000000	0.00000000	0.00000000	0.29505506
0.43906023	0.00000000	0.00000000	0.00000000	0.29502928
0.43907172	0.00000000	0.00000000	0.00000000	0.29438704
0.43908323	0.00000000	0.00000000	0.00000000	0.29410145
0.43909472	0.00000000	0.00000000	0.00000000	0.29331163
0.43910622	0.00000000	0.00000000	0.00000000	0.29252914
0.43911770	0.00000000	0.00000000	0.00000000	0.29169095
0.43912919	0.00000000	0.00000000	0.00000000	0.29119322
0.43914069	0.00000000	0.00000000	0.00000000	0.29107252
0.43915220	0.00000000	0.00000000	0.00000000	0.29086861
0.43916369	0.00000000	0.00000000	0.00000000	0.29123101
0.43917518	0.00000000	0.00000000	0.00000000	0.29282972
0.43918669	0.00000000	0.00000000	0.00000000	0.29305661
0.43919818	0.00000000	0.00000000	0.00000000	0.29316068
0.43920967	0.00000000	0.00000000	0.00000000	0.29312977
