Day fraction since midnight on 11/10/2019	Fluoride Probe (volts)	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.39874696	0.09077948	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39875852	0.09075060	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39877006	0.09073747	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39878161	0.09073557	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39879315	0.09067586	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39880472	0.09066308	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39881626	0.09068106	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39882781	0.09061543	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39883937	0.09061676	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39885091	0.09055328	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39886246	0.09058500	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39887400	0.09055815	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39888555	0.09052269	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39889712	0.09051502	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
0.39890866	0.09048145	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	0.00252000
